level,benchmark,model,distribution,persistence,n,valid,lower_whisker,q1,median,q3,upper_whisker
0.05,VaR,GJR-GARCH,normal,low,1000,10000,0.6122764866075975,0.6777695356161816,0.6982708601857253,0.7214637392050074,0.7868550919786842
0.05,VaR,GJR-GARCH,normal,low,2500,10000,0.6366969752701362,0.6815018201905314,0.6963052590326047,0.7115201647648961,0.7563242996786124
0.05,VaR,GJR-GARCH,normal,low,5000,10000,0.6476354726350148,0.6825870266006135,0.6942915333389085,0.7058895203809491,0.7407133061291965
0.05,VaR,GJR-GARCH,t4,high,500,9997,0.4959549447367534,0.7183194129439456,0.781797778223964,0.8681482803749905,1.092813973792758
0.05,VaR,GJR-GARCH,t4,high,1000,10000,0.5710742367960829,0.7498354970798459,0.8029578821471977,0.8693151258878995,1.0484454049768643
0.05,VaR,GJR-GARCH,t4,high,2500,10000,0.6459605890622447,0.7760577875928892,0.8149245961060079,0.8645764180742487,0.9972788982049856
0.05,VaR,GJR-GARCH,t4,high,5000,10000,0.6774431823511324,0.7847915959757596,0.8164853828361602,0.8564140959106676,0.9637310812943491
0.05,VaR,GJR-GARCH,t4,low,500,9998,0.4917811012205686,0.7338873997401496,0.8023301244960619,0.8981025373021251,1.1444005131841757
0.05,VaR,GJR-GARCH,t4,low,1000,10000,0.5649297101327466,0.7618739933271967,0.8170424163692211,0.8950104577639431,1.094191702825789
0.05,VaR,GJR-GARCH,t4,low,2500,10000,0.64299110490933,0.7834087944001813,0.8261508839952261,0.8810501331001783,1.027436994471025
0.05,VaR,GJR-GARCH,t4,low,5000,10000,0.6727150631739635,0.7901970053878582,0.8265867972144633,0.8708238688923526,0.9916227918933046
0.05,VaR,GJR-GARCH,t8,high,500,9998,0.5452955318756108,0.6812509825817818,0.7224245489869829,0.7723982063494779,0.908582683200068
0.05,VaR,GJR-GARCH,t8,high,1000,10000,0.5940672957977131,0.6990309408925449,0.730788987086211,0.7692976821440775,0.8743203412287127
0.05,VaR,GJR-GARCH,t8,high,2500,10000,0.6431563734580066,0.7132506279510769,0.7357281929579826,0.7605251857648124,0.8313581633047649
0.05,VaR,GJR-GARCH,t8,high,5000,10000,0.6645139621002801,0.7181314338952343,0.7345639831772169,0.754008515807094,0.807815701629892
0.05,VaR,GJR-GARCH,t8,low,500,9998,0.5569597901537543,0.6921774958963958,0.7327214699032896,0.7829174067208756,0.9186762604398
0.05,VaR,GJR-GARCH,t8,low,1000,10000,0.6015459266389449,0.7061357879052115,0.7377465227879934,0.7758758418954221,0.8803670848807972
0.05,VaR,GJR-GARCH,t8,low,2500,10000,0.644453073385163,0.7167780201433555,0.7383409560960217,0.7650436243758565,0.837406381281911
0.05,VaR,GJR-GARCH,t8,low,5000,10000,0.6625298359731668,0.7195485775619102,0.7368049735369941,0.7576238582044006,0.8147363325915514
0.05,ES,GARCH,normal,high,500,9985,0.3996076174911919,0.5157245476940708,0.553595255056734,0.5936982349668762,0.7105728406928775
0.05,ES,GARCH,normal,high,1000,10000,0.453250928364086,0.5342231911958504,0.5591757646008279,0.5885884255613195,0.6700786499390853
0.05,ES,GARCH,normal,high,2500,10000,0.4999673434409531,0.549294885770495,0.5647631783612224,0.5821799529106885,0.6314853277809666
0.05,ES,GARCH,normal,high,5000,10000,0.5199865013547452,0.5557457171585163,0.5668650233391981,0.579771502787157,0.6156960153904267
0.05,ES,GARCH,normal,low,500,9966,0.4200281105453418,0.5305417393598173,0.5661306643179609,0.6054590507352344,0.7176643497292851
0.05,ES,GARCH,normal,low,1000,9995,0.4683156473008842,0.5448130766301862,0.5682309498832852,0.5959857088184508,0.6727315877853661
0.05,ES,GARCH,normal,low,2500,10000,0.5056405261382358,0.554072584119056,0.568895829330007,0.5864515548172665,0.6350170339047475
0.05,ES,GARCH,normal,low,5000,10000,0.5231048817892783,0.5581180407258464,0.5691592290864249,0.5819100245025117,0.617573633560418
0.05,ES,GARCH,t4,high,500,9987,0.3702191474387492,0.4470761554876751,0.4713424804337997,0.4986265778479224,0.5758640461258269
0.05,ES,GARCH,t4,high,1000,10000,0.4037042758270879,0.4563010435177639,0.47359523998877273,0.49144915049641547,0.544087592915212
