model,distribution,persistence,n,tau,scale,replications,valid_wald,bias,bias_mcse,rmse,rmse_mcse,wald_sd,wald_sd_mcse,coverage,coverage_mcse
GARCH,t4,high,5000,tau_0p01,ce,10000,10000,-0.007858578674613675,0.0021724025757579703,0.21737149637758987,0.031129531820661648,1.0498302310161585,0.008163200010108057,0.9366,0.002436810210090232
GARCH,t4,high,5000,tau_0p05,xi,10000,10000,-0.005346867332333462,0.00032392874792358203,0.0328295963689662,0.0006273424484697859,1.041004473838309,0.007278581360326358,0.9285,0.0025765820382824996
GARCH,t4,high,5000,tau_0p05,ce,10000,10000,-0.003852910497835835,0.0010442213729869529,0.10448797672008059,0.014133610577338715,1.0131177581436017,0.007541987834245346,0.946,0.0022601769842204847
GJR-GARCH,normal,low,500,tau_0p01,xi,10000,9998,-0.005296692101238556,0.0023877399389386814,0.23882079851894872,0.07828567922072513,1.0739430933239824,0.008195646452032796,0.9324864972994599,0.002509343006810666
GJR-GARCH,normal,low,500,tau_0p01,ce,10000,9998,-0.0017559349739816891,0.0028398677860980753,0.28397800774666715,0.0679307086979234,1.0863791466198922,0.008800560863727908,0.9331866373274655,0.002497234662638724
GJR-GARCH,normal,low,500,tau_0p05,xi,10000,9998,-0.004758614349403805,0.0006808220476401373,0.06824490821588738,0.009323002256942273,1.0339760467835903,0.0075045448479485995,0.9409881976395279,0.0023567035801341225
GJR-GARCH,normal,low,500,tau_0p05,ce,10000,9998,-0.003676327944795274,0.0012720964908903873,0.12725640250703268,0.005086690303862934,1.0453613542218565,0.00810996057450717,0.9398879775955191,0.002377180454672136
GJR-GARCH,normal,high,500,tau_0p01,xi,10000,9996,-0.03935767909463391,0.005354157391019275,0.5368336554095801,0.23755161982474401,1.0756546781969236,0.008360369816126327,0.9267707082833133,0.0026056461793460533
GJR-GARCH,normal,high,500,tau_0p01,ce,10000,9996,-0.04415439789066493,0.0044007044771771885,0.44225811875833904,0.1587859593098163,1.0906965084898512,0.009428656154272852,0.9349739895958383,0.002466210801167303
GJR-GARCH,normal,high,500,tau_0p05,xi,10000,9996,-0.018306498444152584,0.0011967041087688815,0.12105661082322208,0.04326659510575614,1.0532946877640585,0.007706439623950974,0.9273709483793517,0.002595785524485603
GJR-GARCH,normal,high,500,tau_0p05,ce,10000,9996,-0.023432384141292822,0.0015389420189608153,0.15566031498503172,0.01853730269844178,1.0636689537357298,0.00888344516466902,0.9384753901560624,0.0024033817258681525
GJR-GARCH,t8,low,500,tau_0p01,xi,10000,10000,-0.010569105147001158,0.005962102711766,0.5962741372651824,0.20664366596332936,1.1069895901148812,0.008972470904343739,0.9226,0.002672250736738602
GJR-GARCH,t8,low,500,tau_0p01,ce,10000,10000,-0.006402523527446937,0.005886053555469828,0.5886107468095122,0.17373953800501674,1.1494001722539657,0.01109742733101729,0.916,0.002773878151613729
GJR-GARCH,t8,low,500,tau_0p05,xi,10000,9999,-0.008786066937693274,0.0013686914956948836,0.13714403289862165,0.038152941662277784,1.045143898853388,0.008193280508925293,0.9367936793679368,0.0024334585138144128
GJR-GARCH,t8,low,500,tau_0p05,ce,10000,9999,-0.007527812367305344,0.0019272933321884016,0.19286666218511636,0.022277561217029274,1.069120546957738,0.009697641770538097,0.937993799379938,0.0024117887227029155
GJR-GARCH,t8,high,500,tau_0p01,xi,10000,9999,-0.049494352129590656,0.0069092252850783895,0.692658569497522,0.15047338532852625,1.1105377850547788,0.008894331654681134,0.9252925292529253,0.0026293188828941543
GJR-GARCH,t8,high,500,tau_0p01,ce,10000,9999,-0.0556251299093535,0.0053145055172845145,0.5343272405942024,0.07828181046427668,1.135887746878011,0.01149375957922456,0.9272927292729273,0.0025966837750700526
GJR-GARCH,t8,high,500,tau_0p05,xi,10000,9998,-0.022985456293307473,0.0014525191307063416,0.14705216638956917,0.025242450408279157,1.0637947353277621,0.008693942114029915,0.9218843768753751,0.0026838028642973263
GJR-GARCH,t8,high,500,tau_0p05,ce,10000,9998,-0.028404373307280836,0.0018825357388813982,0.19037508388396973,0.008003500765663847,1.0767526564847838,0.011081809247368265,0.9391878375675135,0.0023900934798968994
GJR-GARCH,t4,low,500,tau_0p01,xi,10000,10000,-0.037062365076441915,0.022512386089474225,2.251431119486702,1.1037275067898205,1.1358121702924167,0.009107836800446254,0.9104,0.0028560784302956387
GJR-GARCH,t4,low,500,tau_0p01,ce,10000,10000,-0.00999926170810914,0.005734737607590814,0.5735322591611073,0.035507128094860625,1.2668137291774761,0.014008826796856198,0.8851,0.0031890122295155907
GJR-GARCH,t4,low,500,tau_0p05,xi,10000,10000,-0.03168721884216873,0.010490839151681433,1.049509925249097,0.5197906327453174,1.0636269479862352,0.007868198531786793,0.9244,0.0026435703130425715
GJR-GARCH,t4,low,500,tau_0p05,ce,10000,10000,-0.015260409521869621,0.002561758621230384,0.2566172048519422,0.011442093567968088,1.1017043989436703,0.010928810594873705,0.9309,0.0025362411162978974
GJR-GARCH,t4,high,500,tau_0p01,xi,10000,9999,-0.08576324894248918,0.0304068387257905,3.0417411415158595,1.4888948479044475,1.1394979507924419,0.009160021159204482,0.9153915391539154,0.002783120819526836
GJR-GARCH,t4,high,500,tau_0p01,ce,10000,9999,-0.056209930964564635,0.006102527535582406,0.612805628827064,0.041960598932751544,1.2322966818225922,0.013147730239860168,0.8971897189718971,0.0030372611362580464
GJR-GARCH,t4,high,500,tau_0p05,xi,10000,9998,-0.051182067766744214,0.014192982100035209,1.4201498414741969,0.7050048894605953,1.0819158210973177,0.008036175864191137,0.9075815163032607,0.002896447589465618
GJR-GARCH,t4,high,500,tau_0p05,ce,10000,9998,-0.029311455780084452,0.002513613821261801,0.2530521440531357,0.00886698314840132,1.096784791067961,0.011026895045937313,0.9328865773154631,0.0025024335261342916
GJR-GARCH,normal,low,1000,tau_0p01,xi,10000,10000,0.0004654802839566078,0.0005729315963344801,0.057292185872633884,0.00040381212573616045,1.0290563479879284,0.007632575755351511,0.9421,0.0023355425493876143
GJR-GARCH,normal,low,1000,tau_0p01,ce,10000,10000,0.0036098656269091763,0.0012784968525197144,0.12789424769969368,0.0014420233218412253,1.0628099733234884,0.009002264671102267,0.9367,0.002435017659073544
GJR-GARCH,normal,low,1000,tau_0p05,xi,10000,10000,-0.0015380182340582107,0.0003723546927911875,0.037265359578397314,0.00026518850455244905,1.0096260606867045,0.00730740876452923,0.9448,0.002283702257300632
GJR-GARCH,normal,low,1000,tau_0p05,ce,10000,10000,-8.418268080086797e-05,0.0008477951399238072,0.08477531670780562,0.0009789704709583559,1.047500508019868,0.008421837445500183,0.9407,0.0023618532977304077
GJR-GARCH,normal,high,1000,tau_0p01,xi,10000,10000,-0.01566353581315135,0.0006290498984578532,0.06482274599161529,0.000542602424400519,1.0268182247697752,0.007563435617460015,0.9409,0.002358117681541785
GJR-GARCH,normal,high,1000,tau_0p01,ce,10000,10000,-0.019330008199243496,0.0013553140383965232,0.13689621531505927,0.00219441474604707,1.0361581583761963,0.007851988923038374,0.9419,0.002339324475142344
GJR-GARCH,normal,high,1000,tau_0p05,xi,10000,10000,-0.008639149256649069,0.00038390186685338944,0.039348366585799495,0.00027859574637322383,1.0184007675101194,0.0073731358363141935,0.9374,0.002422421102946389
GJR-GARCH,normal,high,1000,tau_0p05,ce,10000,10000,-0.011358613343584985,0.0008738188998395715,0.08811270756700047,0.0014869581994633244,1.0315816984946382,0.007520686921897087,0.9409,0.002358117681541785
GJR-GARCH,t8,low,1000,tau_0p01,xi,10000,10000,0.0013232442980647835,0.0009032512882707016,0.09033030504880085,0.0006424104794313974,1.0666863495348302,0.00795960542656113,0.9332,0.00249675309151706
GJR-GARCH,t8,low,1000,tau_0p01,ce,10000,10000,0.00378915452199349,0.0020778416088043177,0.20780831980222886,0.0033041867507379347,1.1215635004859807,0.011881731371903313,0.924,0.002649981132008301
GJR-GARCH,t8,low,1000,tau_0p05,xi,10000,10000,-0.0031881002275722593,0.00045837618148351905,0.04594606742531307,0.00032813607596645543,1.0173053034388524,0.007436223981708449,0.9443,0.0022934147030138265
GJR-GARCH,t8,low,1000,tau_0p05,ce,10000,10000,-0.0018954703467678378,0.0011738556956570683,0.11739500335579299,0.0020513913245734407,1.0656474643192684,0.009872222531331425,0.9384,0.0024042761904573273
GJR-GARCH,t8,high,1000,tau_0p01,xi,10000,10000,-0.016017697994542175,0.0009792814950012236,0.09922464472758885,0.0010906277454535314,1.0672466749971488,0.008007487919342976,0.9341,0.002481072147278268
GJR-GARCH,t8,high,1000,tau_0p01,ce,10000,10000,-0.02366323702283966,0.002307840673874669,0.23198256058963995,0.009451939953680375,1.0925105493374205,0.009887764518215618,0.9325,0.00250885930255166
